Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Arapaima_gigas_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 1.0)	(34.0, 2.0)	(35.0, 1.0)	(36.0, 3.0)	(37.0, 9.5)	(38.0, 16.5)	(39.0, 29.0)	(40.0, 49.5)	(41.0, 74.0)	(42.0, 104.5)	(43.0, 141.5)	(44.0, 178.0)	(45.0, 226.5)	(46.0, 273.5)	(47.0, 308.0)	(48.0, 344.0)	(49.0, 387.0)	(50.0, 405.5)	(51.0, 385.0)	(52.0, 367.5)	(53.0, 342.0)	(54.0, 307.0)	(55.0, 263.0)	(56.0, 207.5)	(57.0, 162.5)	(58.0, 129.0)	(59.0, 99.0)	(60.0, 64.0)	(61.0, 39.0)	(62.0, 32.5)	(63.0, 22.5)	(64.0, 10.5)	(65.0, 7.0)	(66.0, 5.0)	(67.0, 2.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.5)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Arapaima_gigas_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 3.5)	(36.0, 5.5)	(37.0, 11.5)	(38.0, 19.5)	(39.0, 27.5)	(40.0, 39.5)	(41.0, 60.0)	(42.0, 97.0)	(43.0, 131.5)	(44.0, 166.5)	(45.0, 214.5)	(46.0, 264.0)	(47.0, 314.5)	(48.0, 354.0)	(49.0, 372.5)	(50.0, 389.5)	(51.0, 401.5)	(52.0, 395.5)	(53.0, 365.0)	(54.0, 304.0)	(55.0, 255.5)	(56.0, 219.0)	(57.0, 175.5)	(58.0, 140.0)	(59.0, 95.0)	(60.0, 56.0)	(61.0, 45.5)	(62.0, 33.0)	(63.0, 20.0)	(64.0, 13.0)	(65.0, 4.5)	(66.0, 2.0)	(67.0, 2.0)	(68.0, 1.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Bothrops_jararaca_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.5)	(35.0, 3.5)	(36.0, 8.5)	(37.0, 15.5)	(38.0, 20.5)	(39.0, 21.5)	(40.0, 33.5)	(41.0, 51.5)	(42.0, 91.5)	(43.0, 121.5)	(44.0, 156.5)	(45.0, 208.5)	(46.0, 262.0)	(47.0, 328.0)	(48.0, 372.0)	(49.0, 392.0)	(50.0, 399.0)	(51.0, 404.0)	(52.0, 401.5)	(53.0, 365.0)	(54.0, 309.0)	(55.0, 252.0)	(56.0, 207.0)	(57.0, 167.0)	(58.0, 131.5)	(59.0, 97.5)	(60.0, 65.5)	(61.0, 46.0)	(62.0, 28.5)	(63.0, 20.5)	(64.0, 10.5)	(65.0, 4.0)	(66.0, 1.5)	(67.0, 1.5)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.5)	(72.0, 0.5)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Bothrops_jararaca_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 1.0)	(34.0, 1.5)	(35.0, 2.0)	(36.0, 5.0)	(37.0, 10.0)	(38.0, 15.5)	(39.0, 30.0)	(40.0, 51.5)	(41.0, 71.5)	(42.0, 92.5)	(43.0, 120.5)	(44.0, 162.5)	(45.0, 211.0)	(46.0, 261.0)	(47.0, 312.5)	(48.0, 347.5)	(49.0, 372.0)	(50.0, 393.5)	(51.0, 408.5)	(52.0, 392.5)	(53.0, 354.0)	(54.0, 322.5)	(55.0, 266.5)	(56.0, 222.0)	(57.0, 179.0)	(58.0, 119.0)	(59.0, 86.5)	(60.0, 60.5)	(61.0, 39.0)	(62.0, 33.5)	(63.0, 25.0)	(64.0, 13.5)	(65.0, 8.5)	(66.0, 4.5)	(67.0, 1.5)	(68.0, 1.5)	(69.0, 1.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Manacus_manacus_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 1.5)	(35.0, 3.0)	(36.0, 7.5)	(37.0, 12.0)	(38.0, 15.5)	(39.0, 28.0)	(40.0, 37.0)	(41.0, 56.5)	(42.0, 90.0)	(43.0, 117.5)	(44.0, 154.5)	(45.0, 207.0)	(46.0, 272.0)	(47.0, 315.5)	(48.0, 353.5)	(49.0, 394.0)	(50.0, 401.5)	(51.0, 405.5)	(52.0, 381.5)	(53.0, 356.0)	(54.0, 311.0)	(55.0, 247.0)	(56.0, 218.5)	(57.0, 186.5)	(58.0, 144.5)	(59.0, 100.5)	(60.0, 64.5)	(61.0, 42.0)	(62.0, 30.5)	(63.0, 20.5)	(64.0, 11.5)	(65.0, 6.0)	(66.0, 3.0)	(67.0, 1.5)	(68.0, 2.0)	(69.0, 1.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Manacus_manacus_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.5)	(33.0, 1.5)	(34.0, 2.0)	(35.0, 2.0)	(36.0, 4.5)	(37.0, 12.0)	(38.0, 19.0)	(39.0, 30.5)	(40.0, 50.0)	(41.0, 71.5)	(42.0, 97.0)	(43.0, 137.5)	(44.0, 183.5)	(45.0, 226.0)	(46.0, 273.0)	(47.0, 317.5)	(48.0, 353.5)	(49.0, 372.5)	(50.0, 382.0)	(51.0, 370.0)	(52.0, 369.5)	(53.0, 345.5)	(54.0, 316.5)	(55.0, 286.0)	(56.0, 210.5)	(57.0, 162.0)	(58.0, 124.0)	(59.0, 94.0)	(60.0, 69.5)	(61.0, 49.0)	(62.0, 30.5)	(63.0, 14.0)	(64.0, 9.5)	(65.0, 7.0)	(66.0, 5.0)	(67.0, 1.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Podocnemis_expansa_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 3.0)	(39.0, 6.5)	(40.0, 8.5)	(41.0, 13.0)	(42.0, 23.5)	(43.0, 26.0)	(44.0, 29.0)	(45.0, 38.5)	(46.0, 52.0)	(47.0, 67.0)	(48.0, 75.5)	(49.0, 86.0)	(50.0, 84.5)	(51.0, 70.5)	(52.0, 72.5)	(53.0, 73.5)	(54.0, 61.5)	(55.0, 48.0)	(56.0, 39.0)	(57.0, 35.5)	(58.0, 26.0)	(59.0, 22.0)	(60.0, 18.5)	(61.0, 9.0)	(62.0, 3.5)	(63.0, 3.0)	(64.0, 2.0)	(65.0, 1.0)	(66.0, 1.0)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
Podocnemis_expansa_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.5)	(35.0, 1.5)	(36.0, 1.5)	(37.0, 2.0)	(38.0, 4.5)	(39.0, 4.0)	(40.0, 7.0)	(41.0, 14.5)	(42.0, 22.5)	(43.0, 28.0)	(44.0, 31.5)	(45.0, 38.5)	(46.0, 46.5)	(47.0, 60.5)	(48.0, 68.0)	(49.0, 73.0)	(50.0, 88.5)	(51.0, 90.0)	(52.0, 78.5)	(53.0, 69.5)	(54.0, 61.0)	(55.0, 51.0)	(56.0, 43.0)	(57.0, 32.0)	(58.0, 24.5)	(59.0, 21.5)	(60.0, 15.5)	(61.0, 10.0)	(62.0, 4.5)	(63.0, 2.5)	(64.0, 1.5)	(65.0, 1.0)	(66.0, 1.0)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
